Region label,Commodity description,Gross value ($),Category
Australia,Broadacre crops - Cereal crops - Wheat for grain,13144048707.18,Broadacre crops 
Australia,Broadacre crops - Cereal crops - Oats for grain,518939674.12,Broadacre crops 
Australia,Broadacre crops - Cereal crops - Barley for grain,4357569655.22,Broadacre crops 
Australia,Broadacre crops - Cereal crops - Sorghum for grain,1015163555.18,Broadacre crops 
Australia,Broadacre crops - Cereal crops - Rice for grain,275071534.28,Broadacre crops 
Australia,Broadacre crops - Non-cereal crops - Cotton lint (irrigated and non-irrigated),4193620813.33,Broadacre crops 
Australia,Broadacre crops - Non-cereal crops - Oilseeds - Canola,6001876222.41,Broadacre crops 
Australia,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,1377088010.27,Broadacre crops 
Australia,Hay - Total,1689245795.32,Hay 
Australia,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",782584945.33,"Nurseries, cut flowers or cultivated turf "
Australia,Fruit and nuts - Citrus fruit - Oranges,583221770.48,Fruit and nuts 
Australia,Fruit and nuts - Pome fruit - Apples,645747297.92,Fruit and nuts 
Australia,Fruit and nuts - Other fruit - Bananas,536167439.63,Fruit and nuts 
Australia,Fruit and nuts - Nuts - Almonds,792724824.96,Fruit and nuts 
Australia,Fruit and nuts - Grapes - Wine production,852559874.65,Fruit and nuts 
Australia,Vegetables for human consumption - Potatoes - Fresh market and processing,699298093.99,Vegetables for human consumption 
Australia,Livestock products - Total,9068825343.39,Livestock products 
Australia,Livestock Products - Wool,3229582156.11,Livestock Products 
Australia,Livestock products - Milk,4871891868.33,Livestock products 
Australia,Livestock products - Eggs,967351318.94,Livestock products 
Australia,Livestock slaughtered and other disposals - Total,25272038981.91,Livestock slaughtered and other disposals 
Australia,Livestock slaughtered and other disposals - Sheep and lambs,4930181272.68,Livestock slaughtered and other disposals 
Australia,Livestock slaughtered and other disposals - Cattle and calves,15321409870.86,Livestock slaughtered and other disposals 
